step,disp_mm,base_shear_N,percent
164,164.000000,464152.180854,27.333
165,165.000000,463654.538363,27.500
166,166.000000,463174.279016,27.667
167,167.000000,462694.243031,27.833
168,168.000000,462214.427015,28.000
169,169.000000,461734.827379,28.167
170,170.000000,461255.440312,28.333
171,171.000000,460776.261770,28.500
172,172.000000,460297.287441,28.667
173,173.000000,459818.512725,28.833
174,174.000000,459339.932697,29.000
175,175.000000,458861.542077,29.167
176,176.000000,458383.335183,29.333
177,177.000000,457905.305884,29.500
178,178.000000,457427.447547,29.667
179,179.000000,456949.752969,29.833
180,180.000000,456472.214302,30.000
181,181.000000,455994.822960,30.167
182,182.000000,455517.569513,30.333
183,183.000000,455040.443558,30.500
184,184.000000,454563.430199,30.667
185,185.000000,454086.518279,30.833
186,186.000000,453609.695049,31.000
187,187.000000,453132.944243,31.167
188,188.000000,452656.247375,31.333
189,189.000000,452179.583267,31.500
190,190.000000,451702.927439,31.667
191,191.000000,451226.251307,31.833
192,192.000000,450749.521104,32.000
193,193.000000,450272.696400,32.167
194,194.000000,449795.728031,32.333
195,195.000000,449318.555080,32.500
196,196.000000,448841.100362,32.667
197,197.000000,448363.261033,32.833
198,198.000000,447884.903481,33.000
199,199.000000,447415.852978,33.167
200,200.000000,446952.406736,33.333
201,201.000000,446494.327731,33.500
202,202.000000,446036.439492,33.667
203,203.000000,445578.734928,33.833
204,204.000000,445121.205998,34.000
205,205.000000,444663.843487,34.167
206,206.000000,444206.636723,34.333
207,207.000000,443749.573182,34.500
208,208.000000,443292.637951,34.667
209,209.000000,442837.333154,34.833
210,210.000000,442388.831971,35.000
211,211.000000,441940.420271,35.167
212,212.000000,441492.059698,35.333
213,213.000000,441043.696094,35.500
214,214.000000,440595.251803,35.667
215,215.000000,440146.604829,35.833
216,216.000000,439697.540020,36.000
217,217.000000,439249.268378,36.167
218,218.000000,438807.152819,36.333
219,219.000000,438366.158036,36.500
220,220.000000,437925.387847,36.667
221,221.000000,437484.835478,36.833
222,222.000000,437044.492704,37.000
223,223.000000,436604.349357,37.167
224,224.000000,436164.392564,37.333
225,225.000000,435724.605575,37.500
226,226.000000,435284.965810,37.667
227,227.000000,434845.439918,37.833
228,228.000000,434405.982138,38.000
229,229.000000,433966.515709,38.167
230,230.000000,433526.899688,38.333
